state,district,year,season,groundwater_level,latitude,longitude
Punjab,Ludhiana,2012,Kharif,73.14,33.7561,94.5311
Punjab,Ludhiana,2013,Pre-Monsoon,82.26,18.3976,92.683
Punjab,Ludhiana,2013,Post-Monsoon,72.76,23.0336,95.1485
Punjab,Ludhiana,2013,Rabi,77.38,26.7928,84.5318
Punjab,Ludhiana,2013,Kharif,75.49,34.7315,72.0624
Punjab,Ludhiana,2014,Pre-Monsoon,81.51,15.927,91.4715
Punjab,Ludhiana,2014,Post-Monsoon,78.02,29.8731,93.1451
Punjab,Ludhiana,2014,Rabi,79.98,21.5409,91.1506
Punjab,Ludhiana,2014,Kharif,78.25,25.549,88.357
Punjab,Ludhiana,2015,Pre-Monsoon,85.01,8.9704,81.5023
Punjab,Ludhiana,2015,Post-Monsoon,75.06,23.9525,68.8845
Punjab,Ludhiana,2015,Rabi,82.28,9.0084,91.8554
Punjab,Ludhiana,2015,Kharif,77.41,22.1006,90.3298
Punjab,Ludhiana,2016,Pre-Monsoon,90.13,25.2106,89.0566
Punjab,Ludhiana,2016,Post-Monsoon,82.31,34.348,82.9727
Punjab,Ludhiana,2016,Rabi,85.12,15.3125,80.7302
Punjab,Ludhiana,2016,Kharif,79.6,10.1183,68.7352
Punjab,Ludhiana,2017,Pre-Monsoon,90.84,27.2941,87.1457
Punjab,Ludhiana,2017,Post-Monsoon,81.91,24.5165,80.1684
Punjab,Ludhiana,2017,Rabi,87.82,14.6887,78.3232
Punjab,Ludhiana,2017,Kharif,81.99,10.6415,82.2569
Punjab,Ludhiana,2018,Pre-Monsoon,92.46,9.2232,78.8638
Punjab,Ludhiana,2018,Post-Monsoon,85.13,24.8982,82.591
Punjab,Ludhiana,2018,Rabi,87.75,12.3992,70.0465
Punjab,Ludhiana,2018,Kharif,85.51,25.3453,68.7688
Punjab,Ludhiana,2019,Pre-Monsoon,92.13,22.7317,95.3025
Punjab,Ludhiana,2019,Post-Monsoon,85.6,32.4445,73.6779
Punjab,Ludhiana,2019,Rabi,88.78,9.8728,70.9226
Punjab,Ludhiana,2019,Kharif,85.22,16.6123,92.5014
Punjab,Ludhiana,2020,Pre-Monsoon,95.17,31.6917,89.3171
Punjab,Ludhiana,2020,Post-Monsoon,88.92,29.694,76.179
Punjab,Ludhiana,2020,Rabi,91.57,29.7845,96.7246
Punjab,Ludhiana,2020,Kharif,86.68,19.1407,78.7885
Punjab,Ludhiana,2021,Pre-Monsoon,97.29,28.3727,70.9906
Punjab,Ludhiana,2021,Post-Monsoon,88.56,30.3144,77.2814
Punjab,Ludhiana,2021,Rabi,93.94,32.1791,79.2868
Punjab,Ludhiana,2021,Kharif,89.14,33.6517,95.5676
Punjab,Ludhiana,2022,Pre-Monsoon,99.15,28.3141,90.9558
Punjab,Ludhiana,2022,Post-Monsoon,88.55,29.3197,70.645
Punjab,Ludhiana,2022,Rabi,93.3,22.8373,80.8044
Punjab,Ludhiana,2022,Kharif,91.33,31.968,78.1765
Punjab,Ludhiana,2023,Pre-Monsoon,101.18,30.1902,88.481
Punjab,Ludhiana,2023,Post-Monsoon,93.88,33.5757,96.594
Punjab,Ludhiana,2023,Rabi,95.43,28.3412,78.9115
Punjab,Ludhiana,2023,Kharif,90.09,32.4716,71.2247
Punjab,Amritsar,2000,Pre-Monsoon,55.67,28.1432,84.9177
Punjab,Amritsar,2000,Post-Monsoon,46.95,33.9787,78.8712
Punjab,Amritsar,2000,Rabi,53.22,14.0371,95.9335
Punjab,Amritsar,2000,Kharif,48.59,8.3282,96.1265
Punjab,Amritsar,2001,Pre-Monsoon,57.01,24.9938,88.1767
Punjab,Amritsar,2001,Post-Monsoon,53.22,23.7765,94.1336
Punjab,Amritsar,2001,Rabi,52.84,9.2271,76.1479
Punjab,Amritsar,2001,Kharif,54.27,15.4893,73.4555
Punjab,Amritsar,2002,Pre-Monsoon,59.3,16.3572,91.6001
Punjab,Amritsar,2002,Post-Monsoon,54.6,26.4877,72.7159
Punjab,Amritsar,2002,Rabi,53.81,33.1837,93.1159
Punjab,Amritsar,2002,Kharif,55.54,9.2209,68.7646
Punjab,Amritsar,2003,Pre-Monsoon,59.88,34.1877,92.4214
Punjab,Amritsar,2003,Post-Monsoon,53.42,19.2001,75.9288
Punjab,Amritsar,2003,Rabi,59.44,9.5221,93.0769
Punjab,Amritsar,2003,Kharif,54.6,28.7627,95.3982
Punjab,Amritsar,2004,Pre-Monsoon,62.57,14.1734,87.4793
Punjab,Amritsar,2004,Post-Monsoon,56.16,24.6895,78.3867
Punjab,Amritsar,2004,Rabi,59.89,22.0483,90.3972
Punjab,Amritsar,2004,Kharif,55.27,22.0444,92.7133
Punjab,Amritsar,2005,Pre-Monsoon,66.82,28.3887,85.989
Punjab,Amritsar,2005,Post-Monsoon,55.74,11.682,68.4218
Punjab,Amritsar,2005,Rabi,62.22,17.4659,85.1076
Punjab,Amritsar,2005,Kharif,56.41,32.4123,78.0994
Punjab,Amritsar,2006,Pre-Monsoon,63.43,20.3967,96.4209
Punjab,Amritsar,2006,Post-Monsoon,58.9,21.3007,77.5338
Punjab,Amritsar,2006,Rabi,61.03,10.0483,71.7375
Punjab,Amritsar,2006,Kharif,60.99,11.4572,72.4052
Punjab,Amritsar,2007,Pre-Monsoon,66.38,26.0241,72.9973
Punjab,Amritsar,2007,Post-Monsoon,59.99,12.7793,70.5724
Punjab,Amritsar,2007,Rabi,63.6,11.2572,81.3626
Punjab,Amritsar,2007,Kharif,60.96,21.5923,88.0215
Punjab,Amritsar,2008,Pre-Monsoon,69.42,29.7674,89.6995
Punjab,Amritsar,2008,Post-Monsoon,62.26,12.9821,74.0711
Punjab,Amritsar,2008,Rabi,66.18,24.6929,78.6985
Punjab,Amritsar,2008,Kharif,60.14,20.4884,89.6767
Punjab,Amritsar,2009,Pre-Monsoon,71.86,22.3807,75.0316
Punjab,Amritsar,2009,Post-Monsoon,63.25,8.5419,77.3403
Punjab,Amritsar,2009,Rabi,66.25,13.7091,77.4974
Punjab,Amritsar,2009,Kharif,67.92,29.3076,82.4548
Punjab,Amritsar,2010,Pre-Monsoon,71.63,15.6619,78.5294
Punjab,Amritsar,2010,Post-Monsoon,65.9,25.4398,84.5526
Punjab,Amritsar,2010,Rabi,68.09,10.7481,72.4329
Punjab,Amritsar,2010,Kharif,68.03,14.6409,72.6598
Punjab,Amritsar,2011,Pre-Monsoon,73.69,19.0807,96.489
Punjab,Amritsar,2011,Post-Monsoon,67.63,34.1757,93.0997
Punjab,Amritsar,2011,Rabi,70.63,30.0609,75.4792
Punjab,Amritsar,2011,Kharif,69.74,33.0932,84.1461
Punjab,Amritsar,2012,Pre-Monsoon,75.64,21.7055,75.0299
Punjab,Amritsar,2012,Post-Monsoon,67.08,11.1006,85.708
Punjab,Amritsar,2012,Rabi,74.75,12.1678,81.9531
Punjab,Amritsar,2012,Kharif,68.3,22.3799,69.5029
Punjab,Amritsar,2013,Pre-Monsoon,78.01,14.8753,87.7636
Punjab,Amritsar,2013,Post-Monsoon,72.38,20.7326,79.9434
Punjab,Amritsar,2013,Rabi,77.75,17.4194,94.9563
Punjab,Amritsar,2013,Kharif,73.14,33.3352,73.2558
Punjab,Amritsar,2014,Pre-Monsoon,80.89,13.4439,72.746
Punjab,Amritsar,2014,Post-Monsoon,72.77,12.4352,91.6227
Punjab,Amritsar,2014,Rabi,77.82,17.6884,93.4388
Punjab,Amritsar,2014,Kharif,77.5,18.596,91.6814
Punjab,Amritsar,2015,Pre-Monsoon,80.68,14.2697,94.0877
Punjab,Amritsar,2015,Post-Monsoon,76.43,32.4747,86.1029
Punjab,Amritsar,2015,Rabi,75.87,11.1562,95.2551
Punjab,Amritsar,2015,Kharif,73.97,11.7603,91.0267
Punjab,Amritsar,2016,Pre-Monsoon,83.3,14.7092,89.5744
Punjab,Amritsar,2016,Post-Monsoon,75.71,8.9054,84.5268
Punjab,Amritsar,2016,Rabi,81.71,17.2362,91.8165
Punjab,Amritsar,2016,Kharif,78.49,10.9871,92.5471
Punjab,Amritsar,2017,Pre-Monsoon,84.32,27.441,86.5933
Punjab,Amritsar,2017,Post-Monsoon,79.41,14.7986,78.0252
Punjab,Amritsar,2017,Rabi,85.6,12.9031,94.3451
Punjab,Amritsar,2017,Kharif,77.12,20.4742,95.4712
Punjab,Amritsar,2018,Pre-Monsoon,87.75,26.8096,94.7525
Punjab,Amritsar,2018,Post-Monsoon,81.68,27.0954,72.4236
Punjab,Amritsar,2018,Rabi,87.41,19.4515,89.3569
Punjab,Amritsar,2018,Kharif,83.61,33.2279,94.8415
Punjab,Amritsar,2019,Pre-Monsoon,89.2,31.4872,83.0463
Punjab,Amritsar,2019,Post-Monsoon,79.85,9.4786,77.7207
Punjab,Amritsar,2019,Rabi,88.68,29.677,68.1343
Punjab,Amritsar,2019,Kharif,81.87,22.5097,94.6758
Punjab,Amritsar,2020,Pre-Monsoon,90.8,11.8031,73.1152
Punjab,Amritsar,2020,Post-Monsoon,81.93,21.4559,80.1488
Punjab,Amritsar,2020,Rabi,87.84,23.6759,86.3357
Punjab,Amritsar,2020,Kharif,86.23,8.3536,87.2426
Punjab,Amritsar,2021,Pre-Monsoon,91.33,9.8111,89.7489
Punjab,Amritsar,2021,Post-Monsoon,86.29,13.5388,73.5299
Punjab,Amritsar,2021,Rabi,89.77,8.9868,81.6899
Punjab,Amritsar,2021,Kharif,85.92,28.9392,81.1454
Punjab,Amritsar,2022,Pre-Monsoon,94.27,31.2682,95.4373
Punjab,Amritsar,2022,Post-Monsoon,87.23,18.0794,75.8516
Punjab,Amritsar,2022,Rabi,90.12,8.6854,72.5284
Punjab,Amritsar,2022,Kharif,91.42,27.3313,87.1088
Punjab,Amritsar,2023,Pre-Monsoon,94.89,25.6241,74.9073
Punjab,Amritsar,2023,Post-Monsoon,89.23,27.5012,92.8152
Punjab,Amritsar,2023,Rabi,93.03,30.4159,79.5183
Punjab,Amritsar,2023,Kharif,88.97,15.915,93.9937
Punjab,Jalandhar,2000,Pre-Monsoon,53.31,32.1021,91.7059
Punjab,Jalandhar,2000,Post-Monsoon,51.46,17.2291,75.5233
Punjab,Jalandhar,2000,Rabi,54.79,15.2377,86.1003
Punjab,Jalandhar,2000,Kharif,47.18,19.0541,84.0094
Punjab,Jalandhar,2001,Pre-Monsoon,56.8,21.1606,93.942
Punjab,Jalandhar,2001,Post-Monsoon,50.11,8.6067,75.7916
Punjab,Jalandhar,2001,Rabi,56.63,22.6241,86.3709
Punjab,Jalandhar,2001,Kharif,50.68,30.5431,96.5477
Punjab,Jalandhar,2002,Pre-Monsoon,56.97,22.9628,86.8912
Punjab,Jalandhar,2002,Post-Monsoon,53.24,30.403,73.9862
Punjab,Jalandhar,2002,Rabi,58.85,25.956,73.0858
Punjab,Jalandhar,2002,Kharif,55.77,32.6891,80.1443
Punjab,Jalandhar,2003,Pre-Monsoon,57.66,24.2851,75.1151
Punjab,Jalandhar,2003,Post-Monsoon,51.93,17.6032,88.8523
Punjab,Jalandhar,2003,Rabi,57.02,16.0223,84.4257
Punjab,Jalandhar,2003,Kharif,58.34,33.2944,89.2446
Punjab,Jalandhar,2004,Pre-Monsoon,63.01,24.1148,77.6931
Punjab,Jalandhar,2004,Post-Monsoon,55.03,28.8146,71.0913
Punjab,Jalandhar,2004,Rabi,60.28,21.3783,87.9637
Punjab,Jalandhar,2004,Kharif,56.51,19.7403,75.1457
Punjab,Jalandhar,2005,Pre-Monsoon,65.61,10.4727,94.6021
Punjab,Jalandhar,2005,Post-Monsoon,55.84,22.6313,93.3154
Punjab,Jalandhar,2005,Rabi,61.47,27.7701,91.3903
Punjab,Jalandhar,2005,Kharif,60.74,30.9283,75.2404
Punjab,Jalandhar,2006,Pre-Monsoon,67.84,8.9165,88.2252
Punjab,Jalandhar,2006,Post-Monsoon,59.82,16.0284,94.8075
Punjab,Jalandhar,2006,Rabi,65.31,30.8028,77.2539
Punjab,Jalandhar,2006,Kharif,60.49,30.3807,69.0732
Punjab,Jalandhar,2007,Pre-Monsoon,69.17,27.5687,69.8953
Punjab,Jalandhar,2007,Post-Monsoon,62.03,29.3495,77.2438
Punjab,Jalandhar,2007,Rabi,62.52,24.8991,93.6934
Punjab,Jalandhar,2007,Kharif,60.39,8.6588,93.2329
Punjab,Jalandhar,2008,Pre-Monsoon,72.05,18.8521,81.9164
Punjab,Jalandhar,2008,Post-Monsoon,62.19,24.9426,93.3366
Punjab,Jalandhar,2008,Rabi,64.69,27.9147,74.9245
Punjab,Jalandhar,2008,Kharif,61.58,10.9828,78.284
Punjab,Jalandhar,2009,Pre-Monsoon,70.44,19.5499,79.1455
Punjab,Jalandhar,2009,Post-Monsoon,63.41,33.649,90.804
Punjab,Jalandhar,2009,Rabi,70.04,10.4141,80.1098
Punjab,Jalandhar,2009,Kharif,69.48,12.5099,96.7439
Punjab,Jalandhar,2010,Pre-Monsoon,71.46,12.7663,74.3941
Punjab,Jalandhar,2010,Post-Monsoon,66.93,13.0338,90.6079
Punjab,Jalandhar,2010,Rabi,70.07,34.1658,93.6298
Punjab,Jalandhar,2010,Kharif,67.56,33.0493,96.8523
Punjab,Jalandhar,2011,Pre-Monsoon,73.85,14.0599,74.4907
Punjab,Jalandhar,2011,Post-Monsoon,72.15,23.6623,70.6531
Punjab,Jalandhar,2011,Rabi,74.02,31.6914,75.7024
Punjab,Jalandhar,2011,Kharif,70.43,22.8731,70.5226
Punjab,Jalandhar,2012,Pre-Monsoon,76.15,13.9449,87.8145
Punjab,Jalandhar,2012,Post-Monsoon,70.4,10.0555,92.685
Punjab,Jalandhar,2012,Rabi,69.19,23.995,91.9157
Punjab,Jalandhar,2012,Kharif,70.11,17.3908,87.6625
Punjab,Jalandhar,2013,Pre-Monsoon,79.91,31.4169,88.5425
Punjab,Jalandhar,2013,Post-Monsoon,72.97,26.3638,85.9397
Punjab,Jalandhar,2013,Rabi,77.5,28.3233,72.5995
Punjab,Jalandhar,2013,Kharif,72.66,28.0747,72.662
Punjab,Jalandhar,2014,Pre-Monsoon,82.24,34.492,86.3226
Punjab,Jalandhar,2014,Post-Monsoon,71.78,15.0147,86.3862
Punjab,Jalandhar,2014,Rabi,80.26,10.8885,90.0698
Punjab,Jalandhar,2014,Kharif,75.33,22.6142,95.9268
Punjab,Jalandhar,2015,Pre-Monsoon,80.65,9.8316,76.7279
Punjab,Jalandhar,2015,Post-Monsoon,75.27,23.7186,78.0306
Punjab,Jalandhar,2015,Rabi,80.08,24.7647,69.3265
Punjab,Jalandhar,2015,Kharif,77.37,8.6638,68.6416
Punjab,Jalandhar,2016,Pre-Monsoon,82.06,34.9224,80.3593
Punjab,Jalandhar,2016,Post-Monsoon,77.0,20.1874,72.7451
Punjab,Jalandhar,2016,Rabi,82.59,13.9608,70.3891
Punjab,Jalandhar,2016,Kharif,80.1,26.3735,86.9808
Punjab,Jalandhar,2017,Pre-Monsoon,84.69,15.4038,96.5354
Punjab,Jalandhar,2017,Post-Monsoon,80.76,14.2088,74.18
Punjab,Jalandhar,2017,Rabi,83.1,8.8406,86.8983
Punjab,Jalandhar,2017,Kharif,81.84,20.7767,96.0776
Punjab,Jalandhar,2018,Pre-Monsoon,88.9,24.9079,71.8061
Punjab,Jalandhar,2018,Post-Monsoon,82.13,8.8782,94.7046
Punjab,Jalandhar,2018,Rabi,87.09,21.0011,71.4019
Punjab,Jalandhar,2018,Kharif,82.95,11.38,87.8814
Punjab,Jalandhar,2019,Pre-Monsoon,89.54,29.5341,77.0005
Punjab,Jalandhar,2019,Post-Monsoon,82.6,9.9561,79.3823
Punjab,Jalandhar,2019,Rabi,86.98,20.9583,85.4006
Punjab,Jalandhar,2019,Kharif,85.55,31.2233,90.6157
Punjab,Jalandhar,2020,Pre-Monsoon,95.42,26.9666,84.2298
Punjab,Jalandhar,2020,Post-Monsoon,84.78,8.2638,77.4674
Punjab,Jalandhar,2020,Rabi,87.5,17.4669,68.9629
Punjab,Jalandhar,2020,Kharif,85.87,10.1216,79.5108
Punjab,Jalandhar,2021,Pre-Monsoon,92.02,10.8233,86.4565
Punjab,Jalandhar,2021,Post-Monsoon,89.33,31.5162,88.7085
Punjab,Jalandhar,2021,Rabi,91.15,29.6467,77.8441
Punjab,Jalandhar,2021,Kharif,87.79,30.067,81.1172
Punjab,Jalandhar,2022,Pre-Monsoon,93.87,29.3219,87.1025
Punjab,Jalandhar,2022,Post-Monsoon,87.62,21.4513,84.1055
Punjab,Jalandhar,2022,Rabi,91.01,34.901,96.269
Punjab,Jalandhar,2022,Kharif,90.54,25.5588,73.7867
Punjab,Jalandhar,2023,Pre-Monsoon,97.53,27.6336,89.5385
Punjab,Jalandhar,2023,Post-Monsoon,87.42,18.018,96.6418
Punjab,Jalandhar,2023,Rabi,92.86,9.0829,93.1439
Punjab,Jalandhar,2023,Kharif,88.87,27.582,82.1134
Punjab,Patiala,2000,Pre-Monsoon,62.14,27.7941,71.8155
Punjab,Patiala,2000,Post-Monsoon,54.99,27.3273,94.3619
Punjab,Patiala,2000,Rabi,56.1,34.2277,73.2483
Punjab,Patiala,2000,Kharif,52.92,31.0684,82.2761
Punjab,Patiala,2001,Pre-Monsoon,61.17,12.4151,79.3414
Punjab,Patiala,2001,Post-Monsoon,52.78,28.8838,71.7953
Punjab,Patiala,2001,Rabi,60.46,34.1852,81.1599
Punjab,Patiala,2001,Kharif,55.84,17.0991,92.0376
Punjab,Patiala,2002,Pre-Monsoon,63.0,8.9901,89.3557
Punjab,Patiala,2002,Post-Monsoon,56.0,25.9227,81.7643
Punjab,Patiala,2002,Rabi,61.1,23.8046,93.1799
Punjab,Patiala,2002,Kharif,58.17,13.5577,71.2457
Punjab,Patiala,2003,Pre-Monsoon,65.27,20.2094,95.0824
Punjab,Patiala,2003,Post-Monsoon,58.44,9.1225,72.302
Punjab,Patiala,2003,Rabi,59.33,34.639,95.9884
Punjab,Patiala,2003,Kharif,60.7,20.278,82.9523
Punjab,Patiala,2004,Pre-Monsoon,68.79,13.45,87.5295
Punjab,Patiala,2004,Post-Monsoon,58.56,34.1876,70.7231
Punjab,Patiala,2004,Rabi,63.19,31.4398,73.1373
Punjab,Patiala,2004,Kharif,63.99,26.7009,92.3053
Punjab,Patiala,2005,Pre-Monsoon,69.47,8.8205,94.9975
Punjab,Patiala,2005,Post-Monsoon,63.58,13.8232,87.1077
Punjab,Patiala,2005,Rabi,67.7,18.6343,86.8858
Punjab,Patiala,2005,Kharif,63.38,34.9842,69.3981
Punjab,Patiala,2006,Pre-Monsoon,73.14,31.7199,79.7201
Punjab,Patiala,2006,Post-Monsoon,64.4,16.8299,87.3602
Punjab,Patiala,2006,Rabi,68.62,29.541,80.6319
Punjab,Patiala,2006,Kharif,65.78,30.0815,71.4861
Punjab,Patiala,2007,Pre-Monsoon,72.55,18.4911,81.0121
Punjab,Patiala,2007,Post-Monsoon,64.57,14.1363,70.1227
Punjab,Patiala,2007,Rabi,67.54,24.2931,87.3782
Punjab,Patiala,2007,Kharif,65.49,18.2542,93.0367
Punjab,Patiala,2008,Pre-Monsoon,72.24,23.6647,83.4745
Punjab,Patiala,2008,Post-Monsoon,64.86,24.4134,90.1816
Punjab,Patiala,2008,Rabi,72.22,33.7991,68.5287
Punjab,Patiala,2008,Kharif,69.6,13.286,68.2193
Punjab,Patiala,2009,Pre-Monsoon,76.55,17.4938,70.9412
Punjab,Patiala,2009,Post-Monsoon,66.58,15.6916,76.9114
Punjab,Patiala,2009,Rabi,72.98,29.6817,83.6357
Punjab,Patiala,2009,Kharif,71.5,27.3361,75.9061
Punjab,Patiala,2010,Pre-Monsoon,78.08,27.1442,71.0994
Punjab,Patiala,2010,Post-Monsoon,68.92,23.3174,75.4403
Punjab,Patiala,2010,Rabi,74.89,29.7618,83.9566
Punjab,Patiala,2010,Kharif,72.75,9.1721,86.3614
Punjab,Patiala,2011,Pre-Monsoon,80.54,24.4965,79.9198
Punjab,Patiala,2011,Post-Monsoon,70.86,29.0742,75.9694
Punjab,Patiala,2011,Rabi,75.68,30.2106,80.2884
Punjab,Patiala,2011,Kharif,72.71,24.8442,81.1013
Punjab,Patiala,2012,Pre-Monsoon,81.25,8.6382,86.6172
Punjab,Patiala,2012,Post-Monsoon,74.33,24.3915,83.8542
Punjab,Patiala,2012,Rabi,77.69,24.0509,82.4062
Punjab,Patiala,2012,Kharif,73.47,34.6702,71.9568
Punjab,Patiala,2013,Pre-Monsoon,85.78,11.4666,71.0192
Punjab,Patiala,2013,Post-Monsoon,77.18,15.4023,70.3032
Punjab,Patiala,2013,Rabi,82.77,10.3128,93.9315
Punjab,Patiala,2013,Kharif,76.45,14.1197,78.2949
Punjab,Patiala,2014,Pre-Monsoon,85.47,31.7621,86.8754
Punjab,Patiala,2014,Post-Monsoon,75.79,22.3899,77.4057
Punjab,Patiala,2014,Rabi,83.97,34.8418,87.1933
Punjab,Patiala,2014,Kharif,77.31,23.0602,89.1889
Punjab,Patiala,2015,Pre-Monsoon,86.84,13.4252,83.539
Punjab,Patiala,2015,Post-Monsoon,79.76,28.4164,78.0796
Punjab,Patiala,2015,Rabi,82.57,25.9526,91.068
Punjab,Patiala,2015,Kharif,79.29,34.7971,94.883
Punjab,Patiala,2016,Pre-Monsoon,89.01,11.4483,91.956
Punjab,Patiala,2016,Post-Monsoon,81.26,29.1148,88.5536
Punjab,Patiala,2016,Rabi,84.54,10.3664,95.1718
Punjab,Patiala,2016,Kharif,80.73,22.9527,76.8602
Punjab,Patiala,2017,Pre-Monsoon,87.29,34.7883,92.6913
Punjab,Patiala,2017,Post-Monsoon,83.65,18.2768,93.4613
Punjab,Patiala,2017,Rabi,87.38,31.4375,91.3718
Punjab,Patiala,2017,Kharif,83.52,10.1848,79.6864
Punjab,Patiala,2018,Pre-Monsoon,93.95,11.5782,92.9984
Punjab,Patiala,2018,Post-Monsoon,86.04,32.9144,82.1248
Punjab,Patiala,2018,Rabi,91.41,12.7206,82.5744
Punjab,Patiala,2018,Kharif,87.16,18.7639,72.2448
Punjab,Patiala,2019,Pre-Monsoon,93.84,34.0772,80.5424
Punjab,Patiala,2019,Post-Monsoon,87.22,19.8668,71.0643
Punjab,Patiala,2019,Rabi,88.16,25.3023,74.2651
Punjab,Patiala,2019,Kharif,90.42,12.1047,69.7791
Punjab,Patiala,2020,Pre-Monsoon,96.15,34.5593,74.9362
Punjab,Patiala,2020,Post-Monsoon,88.42,11.8407,71.5202
Punjab,Patiala,2020,Rabi,92.0,26.6884,69.8065
Punjab,Patiala,2020,Kharif,89.47,21.7544,96.9042
Punjab,Patiala,2021,Pre-Monsoon,99.51,11.5292,93.7115
Punjab,Patiala,2021,Post-Monsoon,88.67,17.9295,80.0098
Punjab,Patiala,2021,Rabi,94.39,30.3435,89.2748
Punjab,Patiala,2021,Kharif,90.86,8.5182,75.5346
Punjab,Patiala,2022,Pre-Monsoon,99.5,10.9629,83.8908
Punjab,Patiala,2022,Post-Monsoon,93.39,20.2682,92.4864
Punjab,Patiala,2022,Rabi,96.48,12.0513,77.4156
Punjab,Patiala,2022,Kharif,92.12,27.9086,81.8045
Punjab,Patiala,2023,Pre-Monsoon,98.9,29.2464,77.1468
Punjab,Patiala,2023,Post-Monsoon,93.42,14.8761,92.3853
Punjab,Patiala,2023,Rabi,101.06,9.0375,94.1511
Punjab,Patiala,2023,Kharif,98.56,25.8026,93.9584
Punjab,Bathinda,2000,Pre-Monsoon,55.63,26.3662,69.2085
Punjab,Bathinda,2000,Post-Monsoon,51.08,10.2894,88.7734
Punjab,Bathinda,2000,Rabi,51.3,16.0065,78.1414
Punjab,Bathinda,2000,Kharif,51.45,28.9156,87.1797
Punjab,Bathinda,2001,Pre-Monsoon,56.65,8.5655,70.383
Punjab,Bathinda,2001,Post-Monsoon,51.21,18.3124,73.9649
Punjab,Bathinda,2001,Rabi,56.27,11.2774,85.8354
Punjab,Bathinda,2001,Kharif,52.26,22.3182,69.2166
Punjab,Bathinda,2002,Pre-Monsoon,61.29,28.198,91.5413
Punjab,Bathinda,2002,Post-Monsoon,54.8,25.7249,71.7148
