state,district,year,season,groundwater_level,latitude,longitude,well_id,aquifer_type
Punjab,Ludhiana,2012,Kharif,70.12,27.4711,85.4523,CGWB-01051,Coastal
Punjab,Ludhiana,2013,Pre-Monsoon,77.11,27.5368,85.3799,CGWB-01052,Coastal
Punjab,Ludhiana,2013,Post-Monsoon,71.59,27.7469,85.158,CGWB-01053,Coastal
Punjab,Ludhiana,2013,Rabi,76.0,27.7175,85.1716,CGWB-01054,Coastal
Punjab,Ludhiana,2013,Kharif,71.5,27.2895,85.5268,CGWB-01055,Coastal
Punjab,Ludhiana,2014,Pre-Monsoon,79.93,27.7345,85.3679,CGWB-01056,Coastal
Punjab,Ludhiana,2014,Post-Monsoon,69.96,27.673,85.0879,CGWB-01057,Coastal
Punjab,Ludhiana,2014,Rabi,79.17,27.369,85.0674,CGWB-01058,Coastal
Punjab,Ludhiana,2014,Kharif,74.9,27.8211,85.2724,CGWB-01059,Coastal
Punjab,Ludhiana,2015,Pre-Monsoon,81.28,27.7614,85.0757,CGWB-01060,Coastal
Punjab,Ludhiana,2015,Post-Monsoon,75.3,27.3992,85.3827,CGWB-01061,Coastal
Punjab,Ludhiana,2015,Rabi,78.83,27.4745,85.4951,CGWB-01062,Coastal
Punjab,Ludhiana,2015,Kharif,76.33,27.7424,85.5238,CGWB-01063,Coastal
Punjab,Ludhiana,2016,Pre-Monsoon,83.76,27.5803,85.1858,CGWB-01064,Coastal
Punjab,Ludhiana,2016,Post-Monsoon,77.8,27.7959,85.5466,CGWB-01065,Coastal
Punjab,Ludhiana,2016,Rabi,79.3,27.5232,85.2315,CGWB-01066,Coastal
Punjab,Ludhiana,2016,Kharif,76.67,27.8285,85.068,CGWB-01067,Coastal
Punjab,Ludhiana,2017,Pre-Monsoon,84.76,27.3391,85.1823,CGWB-01068,Coastal
Punjab,Ludhiana,2017,Post-Monsoon,77.8,27.6783,85.395,CGWB-01069,Coastal
Punjab,Ludhiana,2017,Rabi,82.76,27.5371,85.3442,CGWB-01070,Coastal
Punjab,Ludhiana,2017,Kharif,77.5,27.3821,85.3164,CGWB-01071,Coastal
Punjab,Ludhiana,2018,Pre-Monsoon,86.53,27.7755,85.2231,CGWB-01072,Coastal
Punjab,Ludhiana,2018,Post-Monsoon,80.54,27.4419,85.3495,CGWB-01073,Coastal
Punjab,Ludhiana,2018,Rabi,85.06,27.37,85.262,CGWB-01074,Coastal
Punjab,Ludhiana,2018,Kharif,82.01,27.575,85.4236,CGWB-01075,Coastal
Punjab,Ludhiana,2019,Pre-Monsoon,86.18,27.7619,85.4111,CGWB-01076,Coastal
Punjab,Ludhiana,2019,Post-Monsoon,81.53,27.8037,85.1609,CGWB-01077,Coastal
Punjab,Ludhiana,2019,Rabi,88.36,27.82,85.0076,CGWB-01078,Coastal
Punjab,Ludhiana,2019,Kharif,85.18,27.4153,85.077,CGWB-01079,Coastal
Punjab,Ludhiana,2020,Pre-Monsoon,89.97,27.4555,85.1993,CGWB-01080,Coastal
Punjab,Ludhiana,2020,Post-Monsoon,81.5,27.7384,85.5204,CGWB-01081,Coastal
Punjab,Ludhiana,2020,Rabi,86.22,27.3843,85.1396,CGWB-01082,Coastal
Punjab,Ludhiana,2020,Kharif,86.77,27.4254,85.4716,CGWB-01083,Coastal
Punjab,Ludhiana,2021,Pre-Monsoon,92.38,27.5635,85.1403,CGWB-01084,Coastal
Punjab,Ludhiana,2021,Post-Monsoon,84.51,27.4837,85.1162,CGWB-01085,Coastal
Punjab,Ludhiana,2021,Rabi,88.5,27.235,85.3392,CGWB-01086,Coastal
Punjab,Ludhiana,2021,Kharif,87.12,27.3484,85.005,CGWB-01087,Coastal
Punjab,Ludhiana,2022,Pre-Monsoon,93.0,27.7638,84.979,CGWB-01088,Coastal
Punjab,Ludhiana,2022,Post-Monsoon,87.01,27.5792,85.2255,CGWB-01089,Coastal
Punjab,Ludhiana,2022,Rabi,89.72,27.3249,85.5515,CGWB-01090,Coastal
Punjab,Ludhiana,2022,Kharif,90.1,27.7352,85.4787,CGWB-01091,Coastal
Punjab,Ludhiana,2023,Pre-Monsoon,95.87,27.4278,85.4592,CGWB-01092,Coastal
Punjab,Ludhiana,2023,Post-Monsoon,86.69,27.3948,85.5416,CGWB-01093,Coastal
Punjab,Ludhiana,2023,Rabi,94.4,27.3485,85.2092,CGWB-01094,Coastal
Punjab,Ludhiana,2023,Kharif,90.26,27.6515,85.0454,CGWB-01095,Coastal
Punjab,Amritsar,2000,Pre-Monsoon,52.03,26.8265,69.3651,CGWB-01096,Semi-Arid
Punjab,Amritsar,2000,Post-Monsoon,44.06,27.3571,69.8515,CGWB-01097,Semi-Arid
Punjab,Amritsar,2000,Rabi,49.14,26.8834,69.4438,CGWB-01098,Semi-Arid
Punjab,Amritsar,2000,Kharif,49.56,26.9296,69.6794,CGWB-01099,Semi-Arid
Punjab,Amritsar,2001,Pre-Monsoon,55.48,26.9474,69.9228,CGWB-01100,Semi-Arid
Punjab,Amritsar,2001,Post-Monsoon,49.37,27.2222,69.6825,CGWB-01101,Semi-Arid
Punjab,Amritsar,2001,Rabi,50.26,26.9281,69.5635,CGWB-01102,Semi-Arid
Punjab,Amritsar,2001,Kharif,51.56,27.2342,69.3585,CGWB-01103,Semi-Arid
Punjab,Amritsar,2002,Pre-Monsoon,55.85,26.8382,69.6449,CGWB-01104,Semi-Arid
Punjab,Amritsar,2002,Post-Monsoon,51.88,27.0636,69.4538,CGWB-01105,Semi-Arid
Punjab,Amritsar,2002,Rabi,51.24,27.149,69.7309,CGWB-01106,Semi-Arid
Punjab,Amritsar,2002,Kharif,49.58,26.8067,69.5747,CGWB-01107,Semi-Arid
Punjab,Amritsar,2003,Pre-Monsoon,58.0,27.2934,69.7451,CGWB-01108,Semi-Arid
Punjab,Amritsar,2003,Post-Monsoon,54.24,26.8772,69.3922,CGWB-01109,Semi-Arid
Punjab,Amritsar,2003,Rabi,55.18,27.1309,69.914,CGWB-01110,Semi-Arid
Punjab,Amritsar,2003,Kharif,53.0,27.1248,69.5828,CGWB-01111,Semi-Arid
Punjab,Amritsar,2004,Pre-Monsoon,58.98,27.1068,69.9148,CGWB-01112,Semi-Arid
Punjab,Amritsar,2004,Post-Monsoon,55.75,27.0111,69.9266,CGWB-01113,Semi-Arid
Punjab,Amritsar,2004,Rabi,56.63,26.9709,69.8568,CGWB-01114,Semi-Arid
Punjab,Amritsar,2004,Kharif,54.96,26.7934,69.8386,CGWB-01115,Semi-Arid
Punjab,Amritsar,2005,Pre-Monsoon,60.75,27.1975,69.7273,CGWB-01116,Semi-Arid
Punjab,Amritsar,2005,Post-Monsoon,54.57,27.306,69.7909,CGWB-01117,Semi-Arid
Punjab,Amritsar,2005,Rabi,58.25,26.8859,69.8003,CGWB-01118,Semi-Arid
Punjab,Amritsar,2005,Kharif,57.55,27.2636,69.9442,CGWB-01119,Semi-Arid
Punjab,Amritsar,2006,Pre-Monsoon,61.14,27.2453,69.5544,CGWB-01120,Semi-Arid
Punjab,Amritsar,2006,Post-Monsoon,55.32,27.3379,69.8649,CGWB-01121,Semi-Arid
Punjab,Amritsar,2006,Rabi,62.65,27.2322,69.4118,CGWB-01122,Semi-Arid
Punjab,Amritsar,2006,Kharif,57.76,27.321,69.653,CGWB-01123,Semi-Arid
Punjab,Amritsar,2007,Pre-Monsoon,64.45,27.3168,69.5834,CGWB-01124,Semi-Arid
Punjab,Amritsar,2007,Post-Monsoon,59.72,26.786,69.8931,CGWB-01125,Semi-Arid
Punjab,Amritsar,2007,Rabi,62.25,27.3495,69.9203,CGWB-01126,Semi-Arid
Punjab,Amritsar,2007,Kharif,59.34,27.1235,69.729,CGWB-01127,Semi-Arid
Punjab,Amritsar,2008,Pre-Monsoon,64.71,26.9767,69.7534,CGWB-01128,Semi-Arid
Punjab,Amritsar,2008,Post-Monsoon,59.83,27.2309,69.8248,CGWB-01129,Semi-Arid
Punjab,Amritsar,2008,Rabi,63.53,27.1092,69.6148,CGWB-01130,Semi-Arid
Punjab,Amritsar,2008,Kharif,61.85,27.3121,69.5604,CGWB-01131,Semi-Arid
Punjab,Amritsar,2009,Pre-Monsoon,69.39,26.8401,69.4004,CGWB-01132,Semi-Arid
Punjab,Amritsar,2009,Post-Monsoon,63.78,27.2001,69.3935,CGWB-01133,Semi-Arid
Punjab,Amritsar,2009,Rabi,66.82,26.8283,69.4008,CGWB-01134,Semi-Arid
Punjab,Amritsar,2009,Kharif,64.7,27.3715,69.5745,CGWB-01135,Semi-Arid
Punjab,Amritsar,2010,Pre-Monsoon,71.83,27.3478,69.9415,CGWB-01136,Semi-Arid
Punjab,Amritsar,2010,Post-Monsoon,63.37,27.2315,69.5756,CGWB-01137,Semi-Arid
Punjab,Amritsar,2010,Rabi,65.5,27.3233,69.4166,CGWB-01138,Semi-Arid
Punjab,Amritsar,2010,Kharif,67.32,27.075,69.3567,CGWB-01139,Semi-Arid
Punjab,Amritsar,2011,Pre-Monsoon,71.41,26.8508,69.4204,CGWB-01140,Semi-Arid
Punjab,Amritsar,2011,Post-Monsoon,65.67,27.169,69.7975,CGWB-01141,Semi-Arid
Punjab,Amritsar,2011,Rabi,70.32,27.0044,69.5213,CGWB-01142,Semi-Arid
Punjab,Amritsar,2011,Kharif,67.33,27.3006,69.484,CGWB-01143,Semi-Arid
Punjab,Amritsar,2012,Pre-Monsoon,74.1,27.3753,69.3942,CGWB-01144,Semi-Arid
Punjab,Amritsar,2012,Post-Monsoon,68.7,27.1118,69.9315,CGWB-01145,Semi-Arid
Punjab,Amritsar,2012,Rabi,74.25,27.1969,69.6226,CGWB-01146,Semi-Arid
Punjab,Amritsar,2012,Kharif,69.5,27.156,69.7005,CGWB-01147,Semi-Arid
Punjab,Amritsar,2013,Pre-Monsoon,75.67,27.1516,69.5163,CGWB-01148,Semi-Arid
Punjab,Amritsar,2013,Post-Monsoon,70.48,26.8923,69.6281,CGWB-01149,Semi-Arid
Punjab,Amritsar,2013,Rabi,74.54,26.8261,69.9345,CGWB-01150,Semi-Arid
Punjab,Amritsar,2013,Kharif,68.63,27.3712,69.7688,CGWB-01151,Semi-Arid
Punjab,Amritsar,2014,Pre-Monsoon,75.3,27.2677,69.7607,CGWB-01152,Semi-Arid
Punjab,Amritsar,2014,Post-Monsoon,71.53,26.877,69.8964,CGWB-01153,Semi-Arid
Punjab,Amritsar,2014,Rabi,75.98,27.0304,69.9095,CGWB-01154,Semi-Arid
Punjab,Amritsar,2014,Kharif,74.36,27.2991,69.377,CGWB-01155,Semi-Arid
Punjab,Amritsar,2015,Pre-Monsoon,79.29,27.2658,69.9423,CGWB-01156,Semi-Arid
Punjab,Amritsar,2015,Post-Monsoon,72.54,26.8697,69.7064,CGWB-01157,Semi-Arid
Punjab,Amritsar,2015,Rabi,77.29,27.2847,69.8529,CGWB-01158,Semi-Arid
Punjab,Amritsar,2015,Kharif,74.28,27.0607,69.5988,CGWB-01159,Semi-Arid
Punjab,Amritsar,2016,Pre-Monsoon,81.04,27.2983,69.8376,CGWB-01160,Semi-Arid
Punjab,Amritsar,2016,Post-Monsoon,74.6,27.3793,69.9479,CGWB-01161,Semi-Arid
Punjab,Amritsar,2016,Rabi,80.49,27.3463,69.8597,CGWB-01162,Semi-Arid
Punjab,Amritsar,2016,Kharif,76.54,26.9279,69.6202,CGWB-01163,Semi-Arid
Punjab,Amritsar,2017,Pre-Monsoon,81.31,27.1825,69.7208,CGWB-01164,Semi-Arid
Punjab,Amritsar,2017,Post-Monsoon,77.1,26.9944,69.418,CGWB-01165,Semi-Arid
Punjab,Amritsar,2017,Rabi,80.75,27.2429,69.662,CGWB-01166,Semi-Arid
Punjab,Amritsar,2017,Kharif,80.41,27.2908,69.681,CGWB-01167,Semi-Arid
Punjab,Amritsar,2018,Pre-Monsoon,85.97,27.0216,69.4303,CGWB-01168,Semi-Arid
Punjab,Amritsar,2018,Post-Monsoon,78.44,26.7967,69.803,CGWB-01169,Semi-Arid
Punjab,Amritsar,2018,Rabi,84.03,26.9073,69.4317,CGWB-01170,Semi-Arid
Punjab,Amritsar,2018,Kharif,80.8,26.7882,69.5602,CGWB-01171,Semi-Arid
Punjab,Amritsar,2019,Pre-Monsoon,84.45,27.042,69.8924,CGWB-01172,Semi-Arid
Punjab,Amritsar,2019,Post-Monsoon,81.76,26.9884,69.6583,CGWB-01173,Semi-Arid
Punjab,Amritsar,2019,Rabi,83.45,27.1527,69.8673,CGWB-01174,Semi-Arid
Punjab,Amritsar,2019,Kharif,83.13,27.3492,69.4381,CGWB-01175,Semi-Arid
Punjab,Amritsar,2020,Pre-Monsoon,88.3,26.9344,69.6254,CGWB-01176,Semi-Arid
Punjab,Amritsar,2020,Post-Monsoon,82.77,27.3675,69.6455,CGWB-01177,Semi-Arid
Punjab,Amritsar,2020,Rabi,87.17,26.9236,69.3954,CGWB-01178,Semi-Arid
Punjab,Amritsar,2020,Kharif,81.59,26.8568,69.4267,CGWB-01179,Semi-Arid
Punjab,Amritsar,2021,Pre-Monsoon,88.78,26.9869,69.888,CGWB-01180,Semi-Arid
Punjab,Amritsar,2021,Post-Monsoon,84.19,27.0638,69.7504,CGWB-01181,Semi-Arid
Punjab,Amritsar,2021,Rabi,87.07,26.804,69.4513,CGWB-01182,Semi-Arid
Punjab,Amritsar,2021,Kharif,84.54,26.9466,69.4561,CGWB-01183,Semi-Arid
Punjab,Amritsar,2022,Pre-Monsoon,90.17,26.998,69.6519,CGWB-01184,Semi-Arid
Punjab,Amritsar,2022,Post-Monsoon,85.16,27.1937,69.3735,CGWB-01185,Semi-Arid
Punjab,Amritsar,2022,Rabi,90.01,26.8285,69.874,CGWB-01186,Semi-Arid
Punjab,Amritsar,2022,Kharif,88.34,27.332,69.3865,CGWB-01187,Semi-Arid
Punjab,Amritsar,2023,Pre-Monsoon,94.7,27.2284,69.4606,CGWB-01188,Semi-Arid
Punjab,Amritsar,2023,Post-Monsoon,86.44,26.9051,69.5722,CGWB-01189,Semi-Arid
Punjab,Amritsar,2023,Rabi,94.03,27.0008,69.6274,CGWB-01190,Semi-Arid
Punjab,Amritsar,2023,Kharif,88.31,27.228,69.3719,CGWB-01191,Semi-Arid
Punjab,Jalandhar,2000,Pre-Monsoon,52.12,31.5383,82.9694,CGWB-01192,Coastal
Punjab,Jalandhar,2000,Post-Monsoon,45.03,31.5847,82.8653,CGWB-01193,Coastal
Punjab,Jalandhar,2000,Rabi,49.15,31.6811,82.8114,CGWB-01194,Coastal
Punjab,Jalandhar,2000,Kharif,48.77,31.6884,82.9163,CGWB-01195,Coastal
Punjab,Jalandhar,2001,Pre-Monsoon,58.29,31.9175,82.8616,CGWB-01196,Coastal
Punjab,Jalandhar,2001,Post-Monsoon,47.96,31.8273,82.8656,CGWB-01197,Coastal
Punjab,Jalandhar,2001,Rabi,50.88,32.0152,82.8915,CGWB-01198,Coastal
Punjab,Jalandhar,2001,Kharif,48.84,31.622,82.8259,CGWB-01199,Coastal
Punjab,Jalandhar,2002,Pre-Monsoon,57.49,31.4799,82.6622,CGWB-01200,Coastal
Punjab,Jalandhar,2002,Post-Monsoon,50.16,31.6946,82.8197,CGWB-01201,Coastal
Punjab,Jalandhar,2002,Rabi,55.35,31.4786,83.112,CGWB-01202,Coastal
Punjab,Jalandhar,2002,Kharif,52.06,31.7698,82.9607,CGWB-01203,Coastal
Punjab,Jalandhar,2003,Pre-Monsoon,59.26,31.7964,82.8129,CGWB-01204,Coastal
Punjab,Jalandhar,2003,Post-Monsoon,53.07,31.9785,82.65,CGWB-01205,Coastal
Punjab,Jalandhar,2003,Rabi,56.84,31.7933,82.9513,CGWB-01206,Coastal
Punjab,Jalandhar,2003,Kharif,52.6,31.936,82.5793,CGWB-01207,Coastal
Punjab,Jalandhar,2004,Pre-Monsoon,61.18,31.6678,82.8833,CGWB-01208,Coastal
Punjab,Jalandhar,2004,Post-Monsoon,53.77,31.6969,82.7995,CGWB-01209,Coastal
Punjab,Jalandhar,2004,Rabi,60.16,31.5964,82.9377,CGWB-01210,Coastal
Punjab,Jalandhar,2004,Kharif,57.64,31.5281,82.6103,CGWB-01211,Coastal
Punjab,Jalandhar,2005,Pre-Monsoon,64.81,31.952,82.591,CGWB-01212,Coastal
Punjab,Jalandhar,2005,Post-Monsoon,54.72,31.9858,82.9746,CGWB-01213,Coastal
Punjab,Jalandhar,2005,Rabi,60.27,32.0699,82.65,CGWB-01214,Coastal
Punjab,Jalandhar,2005,Kharif,56.77,31.7029,83.0828,CGWB-01215,Coastal
Punjab,Jalandhar,2006,Pre-Monsoon,64.33,31.9257,83.0067,CGWB-01216,Coastal
Punjab,Jalandhar,2006,Post-Monsoon,57.73,31.9705,82.6388,CGWB-01217,Coastal
Punjab,Jalandhar,2006,Rabi,61.92,32.0201,82.7167,CGWB-01218,Coastal
Punjab,Jalandhar,2006,Kharif,57.08,31.8284,82.9368,CGWB-01219,Coastal
Punjab,Jalandhar,2007,Pre-Monsoon,67.44,32.0152,82.9014,CGWB-01220,Coastal
Punjab,Jalandhar,2007,Post-Monsoon,58.34,31.7992,82.7902,CGWB-01221,Coastal
Punjab,Jalandhar,2007,Rabi,60.58,31.7103,82.8461,CGWB-01222,Coastal
Punjab,Jalandhar,2007,Kharif,61.51,31.5153,82.6644,CGWB-01223,Coastal
Punjab,Jalandhar,2008,Pre-Monsoon,64.26,31.6751,82.9653,CGWB-01224,Coastal
Punjab,Jalandhar,2008,Post-Monsoon,62.22,31.8916,82.627,CGWB-01225,Coastal
Punjab,Jalandhar,2008,Rabi,64.49,31.9203,82.8709,CGWB-01226,Coastal
Punjab,Jalandhar,2008,Kharif,63.27,32.074,82.9784,CGWB-01227,Coastal
Punjab,Jalandhar,2009,Pre-Monsoon,69.85,31.5613,82.6497,CGWB-01228,Coastal
Punjab,Jalandhar,2009,Post-Monsoon,63.05,31.9038,82.8234,CGWB-01229,Coastal
Punjab,Jalandhar,2009,Rabi,65.7,31.7973,82.7543,CGWB-01230,Coastal
Punjab,Jalandhar,2009,Kharif,64.0,31.7496,82.8893,CGWB-01231,Coastal
Punjab,Jalandhar,2010,Pre-Monsoon,74.18,31.7672,82.7723,CGWB-01232,Coastal
Punjab,Jalandhar,2010,Post-Monsoon,64.09,31.9385,82.5343,CGWB-01233,Coastal
Punjab,Jalandhar,2010,Rabi,69.47,31.9051,82.8864,CGWB-01234,Coastal
Punjab,Jalandhar,2010,Kharif,67.77,31.9715,83.1024,CGWB-01235,Coastal
Punjab,Jalandhar,2011,Pre-Monsoon,70.64,31.7295,82.6997,CGWB-01236,Coastal
Punjab,Jalandhar,2011,Post-Monsoon,64.74,31.8443,83.0741,CGWB-01237,Coastal
Punjab,Jalandhar,2011,Rabi,70.6,31.8312,82.5883,CGWB-01238,Coastal
Punjab,Jalandhar,2011,Kharif,65.93,32.0266,83.001,CGWB-01239,Coastal
Punjab,Jalandhar,2012,Pre-Monsoon,73.02,31.5167,82.5734,CGWB-01240,Coastal
Punjab,Jalandhar,2012,Post-Monsoon,68.81,31.5379,83.0312,CGWB-01241,Coastal
Punjab,Jalandhar,2012,Rabi,70.49,31.5872,83.0295,CGWB-01242,Coastal
Punjab,Jalandhar,2012,Kharif,68.15,31.6747,82.7138,CGWB-01243,Coastal
Punjab,Jalandhar,2013,Pre-Monsoon,76.07,31.703,82.9735,CGWB-01244,Coastal
Punjab,Jalandhar,2013,Post-Monsoon,67.3,31.5987,82.9996,CGWB-01245,Coastal
Punjab,Jalandhar,2013,Rabi,71.83,31.7241,83.0451,CGWB-01246,Coastal
Punjab,Jalandhar,2013,Kharif,70.72,32.0292,82.8064,CGWB-01247,Coastal
Punjab,Jalandhar,2014,Pre-Monsoon,78.12,31.8276,82.5467,CGWB-01248,Coastal
Punjab,Jalandhar,2014,Post-Monsoon,70.57,32.023,82.6759,CGWB-01249,Coastal
Punjab,Jalandhar,2014,Rabi,73.18,31.4957,82.7139,CGWB-01250,Coastal
Punjab,Jalandhar,2014,Kharif,72.45,31.9437,82.6935,CGWB-01251,Coastal
Punjab,Jalandhar,2015,Pre-Monsoon,77.99,31.7845,83.1123,CGWB-01252,Coastal
Punjab,Jalandhar,2015,Post-Monsoon,71.51,31.7508,82.8614,CGWB-01253,Coastal
Punjab,Jalandhar,2015,Rabi,76.43,31.5861,82.7067,CGWB-01254,Coastal
Punjab,Jalandhar,2015,Kharif,75.16,31.6613,82.7654,CGWB-01255,Coastal
Punjab,Jalandhar,2016,Pre-Monsoon,82.1,31.685,82.8079,CGWB-01256,Coastal
Punjab,Jalandhar,2016,Post-Monsoon,73.59,31.8504,82.7536,CGWB-01257,Coastal
Punjab,Jalandhar,2016,Rabi,78.35,31.6518,82.9554,CGWB-01258,Coastal
Punjab,Jalandhar,2016,Kharif,76.88,31.792,82.8476,CGWB-01259,Coastal
Punjab,Jalandhar,2017,Pre-Monsoon,81.49,31.9346,82.5888,CGWB-01260,Coastal
Punjab,Jalandhar,2017,Post-Monsoon,71.39,31.676,82.5723,CGWB-01261,Coastal
Punjab,Jalandhar,2017,Rabi,78.68,32.0138,82.8429,CGWB-01262,Coastal
Punjab,Jalandhar,2017,Kharif,78.28,31.9558,83.1143,CGWB-01263,Coastal
Punjab,Jalandhar,2018,Pre-Monsoon,85.32,31.6277,82.6446,CGWB-01264,Coastal
Punjab,Jalandhar,2018,Post-Monsoon,74.75,31.7787,82.884,CGWB-01265,Coastal
Punjab,Jalandhar,2018,Rabi,82.33,32.0079,82.861,CGWB-01266,Coastal
Punjab,Jalandhar,2018,Kharif,76.6,31.9079,83.0102,CGWB-01267,Coastal
Punjab,Jalandhar,2019,Pre-Monsoon,85.56,31.9595,83.1046,CGWB-01268,Coastal
Punjab,Jalandhar,2019,Post-Monsoon,79.11,32.042,82.6116,CGWB-01269,Coastal
Punjab,Jalandhar,2019,Rabi,81.01,31.5275,82.9069,CGWB-01270,Coastal
Punjab,Jalandhar,2019,Kharif,79.46,31.9169,83.0358,CGWB-01271,Coastal
Punjab,Jalandhar,2020,Pre-Monsoon,88.87,32.0218,82.9018,CGWB-01272,Coastal
Punjab,Jalandhar,2020,Post-Monsoon,81.88,31.6769,83.022,CGWB-01273,Coastal
Punjab,Jalandhar,2020,Rabi,84.33,31.9738,82.7341,CGWB-01274,Coastal
Punjab,Jalandhar,2020,Kharif,82.11,31.9397,82.7446,CGWB-01275,Coastal
Punjab,Jalandhar,2021,Pre-Monsoon,88.47,32.0601,82.9948,CGWB-01276,Coastal
Punjab,Jalandhar,2021,Post-Monsoon,82.98,31.5439,82.8664,CGWB-01277,Coastal
Punjab,Jalandhar,2021,Rabi,86.39,31.5846,82.8178,CGWB-01278,Coastal
Punjab,Jalandhar,2021,Kharif,84.31,31.7829,82.972,CGWB-01279,Coastal
